Date,Currency,Exchange Rate,Normalized Price
2020-06-12,XAU,319553.7878,0.15564150247360767
2020-06-13,XAU,319961.5413666667,0.1561234627394685
2020-06-14,XAU,320369.2949333333,0.15660542300532934
2020-06-15,XAU,320777.0485,0.15708738327119023
2020-06-16,XAU,321340.5167,0.15775339653428974
2020-06-17,XAU,320746.0316,0.15705072163388714
2020-06-18,XAU,321891.5874,0.15840475608768703
2020-06-19,XAU,322063.8597,0.15860838006622682
2020-06-20,XAU,323870.2594,0.16074352479783552
2020-06-21,XAU,325676.6591,0.16287866952944421
2020-06-22,XAU,327483.0588,0.1650138142610529
2020-06-23,XAU,326796.1545,0.16420190087484923
2020-06-24,XAU,330195.4607,0.16821984370558304
2020-06-25,XAU,328619.2931,0.16635683080358118
2020-06-26,XAU,328481.3555,0.16619379006573634
2020-06-27,XAU,328669.49476666667,0.1664161686257151
2020-06-28,XAU,328857.63403333334,0.16663854718569385
2020-06-29,XAU,329045.7733,0.1668609257456726
2020-06-30,XAU,329887.6247,0.16785598491309126
2020-07-01,XAU,331816.8853,0.17013634988768153
2020-07-02,XAU,329584.8147,0.16749806679774923
2020-07-03,XAU,330503.1284,0.16858350356931154
2020-07-04,XAU,330245.67689999996,0.16827919870595828
2020-07-05,XAU,329988.2254,0.16797489384260514
2020-07-06,XAU,329730.7739,0.16767058897925194
2020-07-07,XAU,331612.816,0.16989514220215204
2020-07-08,XAU,333330.5534,0.17192548906275942
2020-07-09,XAU,336177.4029,0.1752904341032219
2020-07-10,XAU,334636.7827,0.17346943784008037
2020-07-11,XAU,334862.6327,0.17373639007531047
2020-07-12,XAU,335088.4827,0.1740033423105404
2020-07-13,XAU,335314.3327,0.1742702945457705
2020-07-14,XAU,334201.8742,0.17295538073936964
2020-07-15,XAU,336213.4811,0.1753330781418895
2020-07-16,XAU,336114.4912,0.17521607316039647
2020-07-17,XAU,334208.359,0.17296304570219903
2020-07-18,XAU,334733.3111,0.1735835333554365
2020-07-19,XAU,335258.2632,0.17420402100867402
2020-07-20,XAU,335783.2153,0.1748245086619115
2020-07-21,XAU,337487.643,0.17683912360237172
2020-07-22,XAU,345312.6634,0.1860882123183357
2020-07-23,XAU,346620.7554,0.18763436278672843
2020-07-24,XAU,350082.1012,0.19172563574760512
2020-07-25,XAU,352366.34016666666,0.19442558127760803
2020-07-26,XAU,354650.5791333333,0.19712552680761095
2020-07-27,XAU,356934.8181,0.19982547233761386
2020-07-28,XAU,367184.4185,0.2119403881533962
2020-07-29,XAU,362747.3693,0.20669584442186847
2020-07-30,XAU,364649.5331,0.2089441812745743
2020-07-31,XAU,365354.5794,0.20977753830678877
2020-08-01,XAU,365735.508225,0.21022779202074623
2020-08-02,XAU,366116.43705,0.21067804573470375
2020-08-03,XAU,366497.365875,0.2111282994486612
2020-08-04,XAU,366878.2947,0.21157855316261867
2020-08-05,XAU,373601.2648,0.21952503045099384
2020-08-06,XAU,378308.6044,0.22508905448555996
2020-08-07,XAU,382997.3043,0.2306310465981468
2020-08-08,XAU,380752.6702,0.22797791358832384
2020-08-09,XAU,378508.0361,0.22532478057850094
2020-08-10,XAU,376263.402,0.222671647568678
2020-08-11,XAU,373221.1713,0.21907576408207022
2020-08-12,XAU,347883.9436,0.18912743745357
2020-08-13,XAU,355293.5396,0.19788549906238714
2020-08-14,XAU,356622.134,0.19945588314383098
2020-08-15,XAU,356022.262,0.19874684098641718
2020-08-16,XAU,355422.39,0.19803779882900344
2020-08-17,XAU,354822.518,0.19732875667158964
2020-08-18,XAU,365571.0412,0.21003339379207506
2020-08-19,XAU,367033.5751,0.21176209290079626
2020-08-20,XAU,359550.1021,0.20291670948422133
2020-08-21,XAU,362097.679,0.205927917577537
2020-08-22,XAU,360073.5297,0.2035353951950962
2020-08-23,XAU,358049.38039999997,0.20114287281265528
2020-08-24,XAU,356025.2311,0.19875035043021447
2020-08-25,XAU,357435.7853,0.20041761010080592
2020-08-26,XAU,359077.4137,0.2023579969540141
2020-08-27,XAU,362176.1276,0.20602064296660347
2020-08-28,XAU,360306.9863,0.20381133834851303
2020-08-29,XAU,362523.24836666667,0.2064309359245686
2020-08-30,XAU,364739.51043333334,0.20905053350062422
2020-08-31,XAU,366955.7725,0.21167013107667978
2020-09-01,XAU,366426.1921,0.21104417282335228
2020-09-02,XAU,365896.6117,0.21041821457002488
2020-09-03,XAU,361496.5905,0.20521743753039925
2020-09-04,XAU,359288.566,0.2026075766682446
2020-09-05,XAU,359198.01403333334,0.20250054523186586
2020-09-06,XAU,359107.46206666663,0.20239351379548706
2020-09-07,XAU,359016.9101,0.20228648235910837
2020-09-08,XAU,355980.3416,0.1986972915311073
2020-09-09,XAU,355512.5661,0.19814438599508408
2020-09-10,XAU,358691.2271,0.2019015286073864
2020-09-11,XAU,359424.209,0.2027679052139311
2020-09-12,XAU,359538.62206666666,0.20290314021010644
2020-09-13,XAU,359653.0351333333,0.20303837520628168
2020-09-14,XAU,359767.4482,0.20317361020245697
2020-09-15,XAU,361951.2417,0.20575483028705197
2020-09-16,XAU,361131.4413,0.20478583516098395
2020-09-17,XAU,360234.7217,0.20372592237995865
2020-09-18,XAU,361065.172,0.20470750557160108
2020-09-19,XAU,361444.2759333333,0.2051556022835241
2020-09-20,XAU,361823.3798666667,0.2056036989954472
2020-09-21,XAU,362202.4838,0.20605179570737023
2020-09-22,XAU,354121.8279,0.19650054862023456
2020-09-23,XAU,352531.2521,0.19462050538307377
2020-09-24,XAU,344693.9143,0.18535685763473345
2020-09-25,XAU,345306.5693,0.18608100915864242
2020-09-26,XAU,345078.6213333333,0.18581157714970817
2020-09-27,XAU,344850.67336666666,0.1855421451407739
2020-09-28,XAU,344622.7254,0.18527271313183966
2020-09-29,XAU,349517.4288,0.19105819913324737
2020-09-30,XAU,351689.5727,0.19362564951777803
2020-10-01,XAU,351315.85774999997,0.19318392252534325
2020-10-02,XAU,350942.1428,0.19274219553290858
2020-10-03,XAU,350746.2065333333,0.19251060100402087
2020-10-04,XAU,350550.27026666666,0.1922790064751332
2020-10-05,XAU,350354.334,0.19204741194624544
2020-10-06,XAU,352998.2169,0.19517245268054437
2020-10-07,XAU,347324.5254,0.18846621124627153
2020-10-08,XAU,348061.4133,0.18933720470218898
2020-10-09,XAU,351053.5794,0.192873912377967
2020-10-10,XAU,352294.6703666667,0.19434086835616246
2020-10-11,XAU,353535.7613333333,0.19580782433435792
2020-10-12,XAU,354776.8523,0.19727478031255338
2020-10-13,XAU,352300.1725,0.19434737181771597
2020-10-14,XAU,348899.8728,0.19032825468082457
2020-10-15,XAU,350298.5918,0.19198152527417714
2020-10-16,XAU,352266.3242,0.1943073634965128
2020-10-17,XAU,351653.8270666666,0.19358339856928095
2020-10-18,XAU,351041.3299333333,0.1928594336420492
2020-10-19,XAU,350428.8328,0.19213546871481732
2020-10-20,XAU,350177.5135,0.1918384120449416
2020-10-21,XAU,353882.2321,0.1962173489994167
2020-10-22,XAU,352742.5775,0.1948702896996152
2020-10-23,XAU,351277.1657,0.1931381889445015
2020-10-24,XAU,351056.58643333334,0.19287746665855035
2020-10-25,XAU,350836.0071666667,0.1926167443725992
2020-10-26,XAU,350615.4279,0.19235602208664807
2020-10-27,XAU,351997.5891,0.19398972154110097
2020-10-28,XAU,351447.6432,0.19333969148902844
2020-10-29,XAU,346177.056,0.18710991493815535
2020-10-30,XAU,346315.150475,0.1872731411005382
2020-10-31,XAU,346453.24494999996,0.18743636726292104
2020-11-01,XAU,346591.339425,0.18759959342530388
2020-11-02,XAU,346729.4339,0.18776281958768673
2020-11-03,XAU,349605.4665,0.19116225873386508
2020-11-04,XAU,349079.0088,0.1905399914778587
2020-11-05,XAU,351550.1411,0.1934608428882376
2020-11-06,XAU,358166.0304,0.20128075183961827
2020-11-07,XAU,359020.2392333333,0.20229041735837652
2020-11-08,XAU,359874.44806666666,0.20330008287713477
2020-11-09,XAU,360728.6569,0.20430974839589308
2020-11-10,XAU,346220.9551,0.18716180319527112
2020-11-11,XAU,347059.5479,0.18815301073305188
2020-11-12,XAU,344995.2137,0.18571299023736118
2020-11-13,XAU,346823.0905,0.18787352066678367
2020-11-14,XAU,347928.9841333333,0.18918067487242887
2020-11-15,XAU,349034.8777666667,0.19048782907807413
2020-11-16,XAU,350140.7714,0.19179498328371938
2020-11-17,XAU,349696.2735,0.1912695916168606
2020-11-18,XAU,347507.5315,0.1886825224592701
2020-11-19,XAU,346081.0073,0.18699638642296415
2020-11-20,XAU,344095.1126,0.18464908056023918
2020-11-21,XAU,344894.26436666667,0.18559366922705203
2020-11-22,XAU,345693.41613333335,0.18653825789386488
2020-11-23,XAU,346492.5679,0.18748284656067774
2020-11-24,XAU,338752.0146,0.17833359703509857
2020-11-25,XAU,335601.81,0.1746100895770429
2020-11-26,XAU,335906.0538,0.17496970242833745
2020-11-27,XAU,335171.7382,0.1741017494029478
2020-11-28,XAU,333242.91523333336,0.17182190170618158
2020-11-29,XAU,331314.09226666664,0.16954205400941527
2020-11-30,XAU,329385.2693,0.16726220631264907
2020-12-01,XAU,331029.641,0.16920583571651884
2020-12-02,XAU,336530.848,0.17570820235416765
2020-12-03,XAU,341606.7077,0.18170781312516146
2020-12-04,XAU,343381.0764,0.1838050975643342
2020-12-05,XAU,342596.3543666667,0.1828775646848453
2020-12-06,XAU,341811.6323333333,0.18195003180535632
2020-12-07,XAU,341026.9103,0.1810224989258674
2020-12-08,XAU,347420.2748,0.18857938599212912
2020-12-09,XAU,347670.0502,0.18887461778905393
2020-12-10,XAU,342385.7552,0.18262863876817828
2020-12-11,XAU,341764.3291,0.1818941198997909
2020-12-12,XAU,341751.9230333333,0.18187945606438213
2020-12-13,XAU,341739.5169666667,0.18186479222897337
